,Ensemble_member,Time_since_eruption,a_A,b_A,c_A,Travel_time_x,a_B,b_B,c_B,Travel_time_y
985,1,48.8666667,0.001009,0.5188396,2.4963211,102.8333333,-0.001329,0.5740649,-0.5336769,102.8333333
1971,2,48.8666667,0.0014003,0.4769083,3.8866856,101.8333333,-0.0003882,0.4893432,1.612775,101.8333333
2957,3,48.8666667,0.0013297,0.4857465,3.9469023,97.8333333,3.43e-05,0.4468942,2.951901,97.8333333
3943,4,48.8666667,0.001511,0.4663941,4.7697029,97.8333333,-0.0003448,0.4838304,2.397773,97.8333333
4929,5,48.8666667,0.0015592,0.4637098,5.1289191,96.8333333,-0.0005366,0.4851888,2.5089648,96.8333333
5915,6,48.8666667,0.0012939,0.4895956,4.877376,97.8333333,-0.0004097,0.4749569,3.0335567,97.8333333
6901,7,48.8666667,0.0011908,0.5023575,4.8857461,96.8333333,-0.0004061,0.4789842,3.1480367,96.8333333
7887,8,48.8666667,0.0006264,0.5573922,3.9582672,95.8333333,-0.000763,0.5193501,2.3911082,95.8333333
8873,9,48.8666667,-4.86e-05,0.6165139,3.0617636,94.8333333,-0.0006187,0.5127441,2.6514677,94.8333333
9859,10,48.8666667,-0.000481,0.6616426,2.3063337,93.8333333,-0.0008623,0.5390003,2.274629,93.8333333
10845,11,48.8666667,-0.0007448,0.6873173,2.0957749,92.8333333,-0.0010313,0.5603341,1.9496438,92.8333333
11831,12,48.8666667,-0.0008963,0.7120995,1.6720135,91.8333333,-0.0007565,0.5385852,2.5971885,91.8333333
12817,13,48.8666667,-0.0010448,0.7388618,1.2009335,90.8333333,-0.000955,0.559758,2.3505668,90.8333333
13803,14,48.8666667,-0.0011765,0.7597193,0.9138885,89.8333333,-0.000969,0.5641007,2.4421638,89.8333333
14789,15,48.8666667,-0.0006792,0.7280266,1.6891845,88.8333333,-0.000531,0.5298083,3.2992442,88.8333333
15775,16,48.8666667,0.0002836,0.6633413,3.0207544,88.8333333,-0.0005907,0.5374514,3.2966641,88.8333333
16761,17,48.8666667,0.0013045,0.5960649,4.3594167,87.8333333,-0.00058,0.5441022,3.252645,87.8333333
17747,18,48.8666667,0.0020943,0.5441396,5.4381297,86.8333333,-0.0007438,0.5613877,3.0602551,86.8333333
18733,19,48.8666667,0.0014722,0.5975214,4.6013269,85.8333333,-0.0013508,0.6202171,1.9605276,85.8333333
19719,20,48.8666667,0.0019777,0.5676586,5.2574483,84.8333333,-0.000538,0.5515834,3.5115172,84.8333333
20705,21,48.8666667,0.0005263,0.6953525,2.8110209,83.8333333,-0.0005979,0.5643545,3.3405875,83.8333333
