,EA_raw,Ensemble_member,Time_since_eruption,a_A,b_A,c_A,Travel_time_x,a_B,b_B,c_B,Travel_time_y
2439,40.0531947,1,67.1333333,-0.0004566,0.608854,1.268356,90.9166667,0.0012191,0.4102176,3.5915704,90.9166667
4879,40.709095,2,67.1333333,0.0002471,0.5503751,2.6266996,89.9166667,0.0011303,0.4238121,3.5219662,89.9166667
7319,40.7105565,3,67.1333333,-0.0001819,0.586102,2.2280926,88.9166667,0.0010787,0.4351541,3.4679214,88.9166667
9759,41.3734045,4,67.1333333,-0.0001138,0.589981,2.307285,88.9166667,0.0008516,0.4618671,3.1037377,88.9166667
12199,42.0139283,5,67.1333333,-0.0001493,0.6041776,2.0484587,87.9166667,0.0007807,0.4740088,3.0340848,87.9166667
14639,42.0928888,6,67.1333333,-0.0006555,0.6492168,1.4589759,86.9166667,0.0008227,0.4747652,3.2254433,86.9166667
17079,42.5167361,7,67.1333333,-0.0006124,0.6458867,1.9236482,86.9166667,0.0006876,0.492158,3.0487848,86.9166667
19519,43.1018374,8,67.1333333,-0.0005165,0.6474075,1.9886514,85.9166667,0.0005918,0.5060762,2.9394277,85.9166667
21959,43.6338481,9,67.1333333,-7.68e-05,0.6072744,3.1324186,84.9166667,0.0006165,0.5079509,3.099192,84.9166667
24399,43.5412291,10,67.1333333,-0.0006029,0.6553708,2.4175936,84.9166667,0.0005118,0.5229382,2.9438569,84.9166667
26839,,11,67.1333333,-0.0028351,0.851089,-1.1365144,83.9166667,0.0003505,0.5392561,2.6888987,83.9166667
29279,,12,67.1333333,-0.0027977,0.8486659,-0.8467946,82.9166667,0.0002871,0.5490366,2.6634996,82.9166667
31719,,13,67.1333333,-0.0028553,0.8557249,-0.7636447,80.9166667,0.0002617,0.5556166,2.7030298,80.9166667
34159,,14,67.1333333,-0.0028865,0.8611745,-0.6570315,79.9166667,0.0002625,0.5603203,2.7533726,79.9166667
36599,,15,67.1333333,-0.0029137,0.8652673,-0.5148357,78.9166667,0.0001844,0.5711213,2.7074445,78.9166667
39039,,16,67.1333333,-0.0030464,0.8808352,-0.5691713,78.9166667,0.0001557,0.5776525,2.7444109,78.9166667
41479,,17,67.1333333,-0.0030067,0.8774276,-0.2788388,77.9166667,6.97e-05,0.5892315,2.6633597,77.9166667
43919,,18,67.1333333,-0.0031055,0.8910033,-0.3563283,78.9166667,8.1e-05,0.5923641,2.761916,78.9166667
46359,,19,67.1333333,-0.0032327,0.9036742,-0.3941001,77.9166667,-3.15e-05,0.606412,2.6217768,77.9166667
48799,,20,67.1333333,-0.0032129,0.9033815,-0.1790853,76.9166667,-0.0001303,0.6185376,2.5431525,76.9166667
51239,,21,67.1333333,-0.0035201,0.9339131,-0.5969625,75.9166667,-0.0001837,0.6270488,2.5228346,75.9166667
