Ensemble_member,Time_since_eruption,EA_diff_A,Travel_time_x,EA_diff_B,Travel_time_y
1,26.4833333,-5.9454285,90.9166667,-4.2531995,90.9166667
2,26.4833333,-5.7065138,89.9166667,-3.9731995,89.9166667
3,26.4833333,-5.455047,88.9166667,-3.7331995,88.9166667
4,26.4833333,-5.1498084,88.9166667,-3.5009773,88.9166667
5,26.4833333,-5.1518146,87.9166667,-3.3387551,87.9166667
6,26.4833333,-4.9419233,86.9166667,-3.0709773,86.9166667
7,26.4833333,-4.5441898,86.9166667,-2.8387551,86.9166667
8,26.4833333,-4.2065396,85.9166667,-2.6009773,85.9166667
9,26.4833333,-3.9480312,84.9166667,-2.3509773,84.9166667
10,26.4833333,-3.6877142,84.9166667,-2.1887551,84.9166667
11,26.4833333,-3.4432063,83.9166667,-2.0909773,83.9166667
12,26.4833333,-3.2332063,82.9166667,-1.8887551,82.9166667
13,26.4833333,-3.0209841,80.9166667,-1.6787551,80.9166667
14,26.4833333,-2.8109841,79.9166667,-1.4987551,79.9166667
15,26.4833333,-2.5909841,78.9166667,-1.2987551,78.9166667
16,26.4833333,-2.3409841,78.9166667,-1.1087551,78.9166667
17,26.4833333,-2.1387618,77.9166667,-0.9387551,77.9166667
18,26.4833333,-1.9287618,78.9166667,-0.7487551,78.9166667
19,26.4833333,-1.7165396,77.9166667,-0.5887551,77.9166667
20,26.4833333,-1.5065396,76.9166667,-0.4265328,76.9166667
21,26.4833333,-1.3065396,75.9166667,-0.2565328,75.9166667
1,26.5,-5.9504815,90.9166667,-4.2548029,90.9166667
2,26.5,-5.7108708,89.9166667,-3.9748029,89.9166667
3,26.5,-5.4597625,88.9166667,-3.7348029,88.9166667
4,26.5,-5.1552225,88.9166667,-3.5022103,88.9166667
5,26.5,-5.1559704,87.9166667,-3.3396177,87.9166667
6,26.5,-4.9448884,86.9166667,-3.0722103,86.9166667
7,26.5,-4.546566,86.9166667,-2.8396177,86.9166667
8,26.5,-4.2104772,85.9166667,-2.6022103,85.9166667
9,26.5,-3.9512148,84.9166667,-2.3522103,84.9166667
10,26.5,-3.691308,84.9166667,-2.1896177,84.9166667
11,26.5,-3.4471154,83.9166667,-2.0922103,83.9166667
12,26.5,-3.2371154,82.9166667,-1.8896177,82.9166667
13,26.5,-3.0245228,80.9166667,-1.6796177,80.9166667
14,26.5,-2.8145228,79.9166667,-1.4996177,79.9166667
15,26.5,-2.5945228,78.9166667,-1.2996177,78.9166667
16,26.5,-2.3445228,78.9166667,-1.1096177,78.9166667
17,26.5,-2.1419302,77.9166667,-0.9396177,77.9166667
18,26.5,-1.9319302,78.9166667,-0.7496177,78.9166667
19,26.5,-1.7193376,77.9166667,-0.5896177,77.9166667
20,26.5,-1.5093376,76.9166667,-0.4270251,76.9166667
21,26.5,-1.3093376,75.9166667,-0.2570251,75.9166667
1,26.5166667,-5.9555345,90.9166667,-4.2564062,90.9166667
2,26.5166667,-5.7152278,89.9166667,-3.9764062,89.9166667
3,26.5166667,-5.464478,88.9166667,-3.7364062,88.9166667
4,26.5166667,-5.1606366,88.9166667,-3.5034432,88.9166667
5,26.5166667,-5.1601261,87.9166667,-3.3404803,87.9166667
6,26.5166667,-4.9478535,86.9166667,-3.0734432,86.9166667
7,26.5166667,-4.5489422,86.9166667,-2.8404803,86.9166667
8,26.5166667,-4.2144149,85.9166667,-2.6034432,85.9166667
9,26.5166667,-3.9543985,84.9166667,-2.3534432,84.9166667
10,26.5166667,-3.6949018,84.9166667,-2.1904803,84.9166667
11,26.5166667,-3.4510245,83.9166667,-2.0934432,83.9166667
12,26.5166667,-3.2410245,82.9166667,-1.8904803,82.9166667
13,26.5166667,-3.0280616,80.9166667,-1.6804803,80.9166667
14,26.5166667,-2.8180616,79.9166667,-1.5004803,79.9166667
15,26.5166667,-2.5980616,78.9166667,-1.3004803,78.9166667
16,26.5166667,-2.3480616,78.9166667,-1.1104803,78.9166667
17,26.5166667,-2.1450986,77.9166667,-0.9404803,77.9166667
18,26.5166667,-1.9350986,78.9166667,-0.7504803,78.9166667
19,26.5166667,-1.7221356,77.9166667,-0.5904803,77.9166667
20,26.5166667,-1.5121356,76.9166667,-0.4275173,76.9166667
21,26.5166667,-1.3121356,75.9166667,-0.2575173,75.9166667
1,26.5333333,-5.9605874,90.9166667,-4.2580095,90.9166667
2,26.5333333,-5.7195848,89.9166667,-3.9780095,89.9166667
3,26.5333333,-5.4691934,88.9166667,-3.7380095,88.9166667
4,26.5333333,-5.1660506,88.9166667,-3.5046762,88.9166667
5,26.5333333,-5.1642819,87.9166667,-3.3413429,87.9166667
6,26.5333333,-4.9508185,86.9166667,-3.0746762,86.9166667
7,26.5333333,-4.5513184,86.9166667,-2.8413429,86.9166667
8,26.5333333,-4.2183525,85.9166667,-2.6046762,85.9166667
9,26.5333333,-3.9575821,84.9166667,-2.3546762,84.9166667
10,26.5333333,-3.6984956,84.9166667,-2.1913429,84.9166667
11,26.5333333,-3.4549337,83.9166667,-2.0946762,83.9166667
12,26.5333333,-3.2449337,82.9166667,-1.8913429,82.9166667
13,26.5333333,-3.0316003,80.9166667,-1.6813429,80.9166667
14,26.5333333,-2.8216003,79.9166667,-1.5013429,79.9166667
15,26.5333333,-2.6016003,78.9166667,-1.3013429,78.9166667
16,26.5333333,-2.3516003,78.9166667,-1.1113429,78.9166667
17,26.5333333,-2.148267,77.9166667,-0.9413429,77.9166667
18,26.5333333,-1.938267,78.9166667,-0.7513429,78.9166667
19,26.5333333,-1.7249337,77.9166667,-0.5913429,77.9166667
20,26.5333333,-1.5149337,76.9166667,-0.4280095,76.9166667
21,26.5333333,-1.3149337,75.9166667,-0.2580095,75.9166667
1,26.55,-5.9656404,90.9166667,-4.2596129,90.9166667
2,26.55,-5.7239418,89.9166667,-3.9796129,89.9166667
3,26.55,-5.4739089,88.9166667,-3.7396129,88.9166667
4,26.55,-5.1714647,88.9166667,-3.5059092,88.9166667
5,26.55,-5.1684376,87.9166667,-3.3422055,87.9166667
6,26.55,-4.9537836,86.9166667,-3.0759092,86.9166667
7,26.55,-4.5536945,86.9166667,-2.8422055,86.9166667
8,26.55,-4.2222901,85.9166667,-2.6059092,85.9166667
9,26.55,-3.9607657,84.9166667,-2.3559092,84.9166667
10,26.55,-3.7020894,84.9166667,-2.1922055,84.9166667
11,26.55,-3.4588428,83.9166667,-2.0959092,83.9166667
12,26.55,-3.2488428,82.9166667,-1.8922055,82.9166667
13,26.55,-3.0351391,80.9166667,-1.6822055,80.9166667
14,26.55,-2.8251391,79.9166667,-1.5022055,79.9166667
15,26.55,-2.6051391,78.9166667,-1.3022055,78.9166667
16,26.55,-2.3551391,78.9166667,-1.1122055,78.9166667
17,26.55,-2.1514354,77.9166667,-0.9422055,77.9166667
18,26.55,-1.9414354,78.9166667,-0.7522055,78.9166667
19,26.55,-1.7277317,77.9166667,-0.5922055,77.9166667
20,26.55,-1.5177317,76.9166667,-0.4285018,76.9166667
21,26.55,-1.3177317,75.9166667,-0.2585018,75.9166667
1,26.5666667,-5.9706934,90.9166667,-4.2612162,90.9166667
2,26.5666667,-5.7282989,89.9166667,-3.9812162,89.9166667
3,26.5666667,-5.4786244,88.9166667,-3.7412162,88.9166667
4,26.5666667,-5.1768788,88.9166667,-3.5071422,88.9166667
5,26.5666667,-5.1725933,87.9166667,-3.3430681,87.9166667
6,26.5666667,-4.9567487,86.9166667,-3.0771422,86.9166667
7,26.5666667,-4.5560707,86.9166667,-2.8430681,86.9166667
8,26.5666667,-4.2262277,85.9166667,-2.6071422,85.9166667
9,26.5666667,-3.9639493,84.9166667,-2.3571422,84.9166667
10,26.5666667,-3.7056831,84.9166667,-2.1930681,84.9166667
11,26.5666667,-3.4627519,83.9166667,-2.0971422,83.9166667
12,26.5666667,-3.2527519,82.9166667,-1.8930681,82.9166667
13,26.5666667,-3.0386779,80.9166667,-1.6830681,80.9166667
14,26.5666667,-2.8286779,79.9166667,-1.5030681,79.9166667
15,26.5666667,-2.6086779,78.9166667,-1.3030681,78.9166667
16,26.5666667,-2.3586779,78.9166667,-1.1130681,78.9166667
17,26.5666667,-2.1546038,77.9166667,-0.9430681,77.9166667
18,26.5666667,-1.9446038,78.9166667,-0.7530681,78.9166667
19,26.5666667,-1.7305297,77.9166667,-0.5930681,77.9166667
20,26.5666667,-1.5205297,76.9166667,-0.428994,76.9166667
21,26.5666667,-1.3205297,75.9166667,-0.258994,75.9166667
1,26.5833333,-5.9757464,90.9166667,-4.2628196,90.9166667
2,26.5833333,-5.7326559,89.9166667,-3.9828196,89.9166667
3,26.5833333,-5.4833398,88.9166667,-3.7428196,88.9166667
4,26.5833333,-5.1822928,88.9166667,-3.5083751,88.9166667
5,26.5833333,-5.1767491,87.9166667,-3.3439307,87.9166667
6,26.5833333,-4.9597137,86.9166667,-3.0783751,86.9166667
7,26.5833333,-4.5584469,86.9166667,-2.8439307,86.9166667
8,26.5833333,-4.2301653,85.9166667,-2.6083751,85.9166667
9,26.5833333,-3.9671329,84.9166667,-2.3583751,84.9166667
10,26.5833333,-3.7092769,84.9166667,-2.1939307,84.9166667
11,26.5833333,-3.4666611,83.9166667,-2.0983751,83.9166667
12,26.5833333,-3.2566611,82.9166667,-1.8939307,82.9166667
13,26.5833333,-3.0422166,80.9166667,-1.6839307,80.9166667
14,26.5833333,-2.8322166,79.9166667,-1.5039307,79.9166667
15,26.5833333,-2.6122166,78.9166667,-1.3039307,78.9166667
16,26.5833333,-2.3622166,78.9166667,-1.1139307,78.9166667
17,26.5833333,-2.1577722,77.9166667,-0.9439307,77.9166667
18,26.5833333,-1.9477722,78.9166667,-0.7539307,78.9166667
19,26.5833333,-1.7333277,77.9166667,-0.5939307,77.9166667
20,26.5833333,-1.5233277,76.9166667,-0.4294862,76.9166667
21,26.5833333,-1.3233277,75.9166667,-0.2594862,75.9166667
1,26.6,-5.9807994,90.9166667,-4.2644229,90.9166667
2,26.6,-5.7370129,89.9166667,-3.9844229,89.9166667
3,26.6,-5.4880553,88.9166667,-3.7444229,88.9166667
4,26.6,-5.1877069,88.9166667,-3.5096081,88.9166667
5,26.6,-5.1809048,87.9166667,-3.3447933,87.9166667
6,26.6,-4.9626788,86.9166667,-3.0796081,86.9166667
7,26.6,-4.5608231,86.9166667,-2.8447933,86.9166667
8,26.6,-4.2341029,85.9166667,-2.6096081,85.9166667
9,26.6,-3.9703165,84.9166667,-2.3596081,84.9166667
10,26.6,-3.7128707,84.9166667,-2.1947933,84.9166667
11,26.6,-3.4705702,83.9166667,-2.0996081,83.9166667
12,26.6,-3.2605702,82.9166667,-1.8947933,82.9166667
13,26.6,-3.0457554,80.9166667,-1.6847933,80.9166667
14,26.6,-2.8357554,79.9166667,-1.5047933,79.9166667
15,26.6,-2.6157554,78.9166667,-1.3047933,78.9166667
16,26.6,-2.3657554,78.9166667,-1.1147933,78.9166667
17,26.6,-2.1609406,77.9166667,-0.9447933,77.9166667
18,26.6,-1.9509406,78.9166667,-0.7547933,78.9166667
19,26.6,-1.7361257,77.9166667,-0.5947933,77.9166667
20,26.6,-1.5261257,76.9166667,-0.4299785,76.9166667
21,26.6,-1.3261257,75.9166667,-0.2599785,75.9166667
1,26.6166667,-5.9858523,90.9166667,-4.2660263,90.9166667
2,26.6166667,-5.7413699,89.9166667,-3.9860263,89.9166667
3,26.6166667,-5.4927708,88.9166667,-3.7460263,88.9166667
4,26.6166667,-5.193121,88.9166667,-3.5108411,88.9166667
5,26.6166667,-5.1850605,87.9166667,-3.3456559,87.9166667
6,26.6166667,-4.9656439,86.9166667,-3.0808411,86.9166667
7,26.6166667,-4.5631992,86.9166667,-2.8456559,86.9166667
8,26.6166667,-4.2380406,85.9166667,-2.6108411,85.9166667
9,26.6166667,-3.9735001,84.9166667,-2.3608411,84.9166667
10,26.6166667,-3.7164645,84.9166667,-2.1956559,84.9166667
11,26.6166667,-3.4744793,83.9166667,-2.1008411,83.9166667
12,26.6166667,-3.2644793,82.9166667,-1.8956559,82.9166667
13,26.6166667,-3.0492941,80.9166667,-1.6856559,80.9166667
14,26.6166667,-2.8392941,79.9166667,-1.5056559,79.9166667
15,26.6166667,-2.6192941,78.9166667,-1.3056559,78.9166667
16,26.6166667,-2.3692941,78.9166667,-1.1156559,78.9166667
17,26.6166667,-2.1641089,77.9166667,-0.9456559,77.9166667
18,26.6166667,-1.9541089,78.9166667,-0.7556559,78.9166667
19,26.6166667,-1.7389238,77.9166667,-0.5956559,77.9166667
20,26.6166667,-1.5289238,76.9166667,-0.4304707,76.9166667
21,26.6166667,-1.3289238,75.9166667,-0.2604707,75.9166667
1,26.6333333,-5.9909053,90.9166667,-4.2676296,90.9166667
2,26.6333333,-5.7457269,89.9166667,-3.9876296,89.9166667
3,26.6333333,-5.4974862,88.9166667,-3.7476296,88.9166667
4,26.6333333,-5.198535,88.9166667,-3.512074,88.9166667
5,26.6333333,-5.1892163,87.9166667,-3.3465185,87.9166667
6,26.6333333,-4.9686089,86.9166667,-3.082074,86.9166667
7,26.6333333,-4.5655754,86.9166667,-2.8465185,86.9166667
8,26.6333333,-4.2419782,85.9166667,-2.612074,85.9166667
9,26.6333333,-3.9766837,84.9166667,-2.362074,84.9166667
10,26.6333333,-3.7200583,84.9166667,-2.1965185,84.9166667
11,26.6333333,-3.4783884,83.9166667,-2.102074,83.9166667
12,26.6333333,-3.2683884,82.9166667,-1.8965185,82.9166667
13,26.6333333,-3.0528329,80.9166667,-1.6865185,80.9166667
14,26.6333333,-2.8428329,79.9166667,-1.5065185,79.9166667
15,26.6333333,-2.6228329,78.9166667,-1.3065185,78.9166667
16,26.6333333,-2.3728329,78.9166667,-1.1165185,78.9166667
17,26.6333333,-2.1672773,77.9166667,-0.9465185,77.9166667
18,26.6333333,-1.9572773,78.9166667,-0.7565185,78.9166667
19,26.6333333,-1.7417218,77.9166667,-0.5965185,77.9166667
20,26.6333333,-1.5317218,76.9166667,-0.4309629,76.9166667
21,26.6333333,-1.3317218,75.9166667,-0.2609629,75.9166667
1,26.65,-5.9959583,90.9166667,-4.2692329,90.9166667
2,26.65,-5.750084,89.9166667,-3.9892329,89.9166667
3,26.65,-5.5022017,88.9166667,-3.7492329,88.9166667
4,26.65,-5.2039491,88.9166667,-3.513307,88.9166667
5,26.65,-5.193372,87.9166667,-3.3473811,87.9166667
6,26.65,-4.971574,86.9166667,-3.083307,86.9166667
7,26.65,-4.5679516,86.9166667,-2.8473811,86.9166667
8,26.65,-4.2459158,85.9166667,-2.613307,85.9166667
9,26.65,-3.9798673,84.9166667,-2.363307,84.9166667
10,26.65,-3.7236521,84.9166667,-2.1973811,84.9166667
11,26.65,-3.4822976,83.9166667,-2.103307,83.9166667
12,26.65,-3.2722976,82.9166667,-1.8973811,82.9166667
13,26.65,-3.0563716,80.9166667,-1.6873811,80.9166667
14,26.65,-2.8463716,79.9166667,-1.5073811,79.9166667
15,26.65,-2.6263716,78.9166667,-1.3073811,78.9166667
16,26.65,-2.3763716,78.9166667,-1.1173811,78.9166667
17,26.65,-2.1704457,77.9166667,-0.9473811,77.9166667
18,26.65,-1.9604457,78.9166667,-0.7573811,78.9166667
19,26.65,-1.7445198,77.9166667,-0.5973811,77.9166667
20,26.65,-1.5345198,76.9166667,-0.4314552,76.9166667
21,26.65,-1.3345198,75.9166667,-0.2614552,75.9166667
1,26.6666667,-6.0010113,90.9166667,-4.2708363,90.9166667
2,26.6666667,-5.754441,89.9166667,-3.9908363,89.9166667
3,26.6666667,-5.5069172,88.9166667,-3.7508363,88.9166667
4,26.6666667,-5.2093632,88.9166667,-3.51454,88.9166667
5,26.6666667,-5.1975278,87.9166667,-3.3482437,87.9166667
6,26.6666667,-4.9745391,86.9166667,-3.08454,86.9166667
7,26.6666667,-4.5703278,86.9166667,-2.8482437,86.9166667
8,26.6666667,-4.2498534,85.9166667,-2.61454,85.9166667
9,26.6666667,-3.9830509,84.9166667,-2.36454,84.9166667
10,26.6666667,-3.7272459,84.9166667,-2.1982437,84.9166667
11,26.6666667,-3.4862067,83.9166667,-2.10454,83.9166667
12,26.6666667,-3.2762067,82.9166667,-1.8982437,82.9166667
13,26.6666667,-3.0599104,80.9166667,-1.6882437,80.9166667
14,26.6666667,-2.8499104,79.9166667,-1.5082437,79.9166667
15,26.6666667,-2.6299104,78.9166667,-1.3082437,78.9166667
16,26.6666667,-2.3799104,78.9166667,-1.1182437,78.9166667
17,26.6666667,-2.1736141,77.9166667,-0.9482437,77.9166667
18,26.6666667,-1.9636141,78.9166667,-0.7582437,78.9166667
19,26.6666667,-1.7473178,77.9166667,-0.5982437,77.9166667
20,26.6666667,-1.5373178,76.9166667,-0.4319474,76.9166667
21,26.6666667,-1.3373178,75.9166667,-0.2619474,75.9166667
1,26.6833333,-6.0060643,90.9166667,-4.2724396,90.9166667
2,26.6833333,-5.758798,89.9166667,-3.9924396,89.9166667
