,Ensemble_member,Time_since_eruption,a_A,b_A,c_A,Travel_time_x,a_B,b_B,c_B,Travel_time_y
1927,1,50.9666667,-0.0042119,0.9439354,-1.0389119,71.4,-0.0019306,0.9403336,0.1009324,71.4
3855,2,50.9666667,-0.0041739,0.9394563,-0.6614843,70.4,-0.0020647,0.9544734,0.0925687,70.4
5783,3,50.9666667,-0.0041396,0.9359393,-0.3073018,69.4,-0.0020783,0.9595266,0.2331975,69.4
7711,4,50.9666667,-0.0040788,0.930988,0.043727,69.4,-0.0020356,0.9574538,0.5719985,69.4
9639,5,50.9666667,-0.0040278,0.9256586,0.4068235,68.4,-0.0021482,0.9679981,0.6527295,68.4
11567,6,50.9666667,-0.0040165,0.9258661,0.6360555,68.4,-0.0022478,0.9795032,0.6553686,68.4
13495,7,50.9666667,-0.0039884,0.9233695,0.9219339,67.4,-0.0021844,0.9755804,1.0060024,67.4
15423,8,50.9666667,-0.0040083,0.9245112,1.1300111,66.4,-0.0022614,0.9854005,1.0454243,66.4
17351,9,50.9666667,-0.0039504,0.9214596,1.3916173,66.4,-0.00226,0.98823,1.2158146,66.4
19279,10,50.9666667,-0.003857,0.9132621,1.7674686,65.4,-0.0023367,0.9985513,1.2283608,65.4
21207,11,50.9666667,-0.0039399,0.9211407,1.8169032,64.4,-0.0023995,1.0046145,1.3734893,64.4
23135,12,50.9666667,-0.003906,0.918702,2.0619977,64.4,-0.0024516,1.0115173,1.4755722,64.4
25063,13,50.9666667,-0.0039449,0.9216901,2.0119783,64.4,-0.0024934,1.0146854,1.4192283,64.4
26991,14,50.9666667,-0.0037903,0.9114832,2.5641591,63.4,-0.0024999,1.0211342,1.7225029,63.4
28919,15,50.9666667,-0.0037903,0.9114832,2.5641591,63.4,-0.0024999,1.0211342,1.7225029,63.4
30847,16,50.9666667,-0.0037889,0.9139435,2.8749564,61.4,-0.0026754,1.0394227,1.8102098,61.4
32775,17,50.9666667,-0.0036866,0.9067926,3.1668474,61.4,-0.0027733,1.0488745,1.8507046,61.4
34703,18,50.9666667,-0.0037465,0.9137011,3.1928255,60.4,-0.0026513,1.0441805,2.1061813,60.4
36631,19,50.9666667,-0.003747,0.913993,3.3779875,60.4,-0.0027714,1.0566384,2.0722091,60.4
38559,20,50.9666667,-0.0038457,0.924509,3.3216076,59.4,-0.0030261,1.0744798,2.0233257,59.4
40487,21,50.9666667,-0.003755,0.918399,3.5901232,59.4,-0.0028364,1.0677025,2.2640287,59.4
