,Ensemble_member,Time_since_eruption,EA_diff_A,Travel_time_x,EA_raw,EA_diff_B,Travel_time_y
0,1,34.7,-4.3168245,91.3333333,,-4.0517929,91.3333333
1,1,34.7166667,-4.3151332,91.3333333,,-4.0501368,91.3333333
2,1,34.7333333,-4.313442,91.3333333,,-4.0484806,91.3333333
3,1,34.75,-4.3117508,91.3333333,,-4.0468245,91.3333333
4,1,34.7666667,-4.3100595,91.3333333,,-4.0451684,91.3333333
5,1,34.7833333,-4.3083683,91.3333333,,-4.0435122,91.3333333
6,1,34.8,-4.306677,91.3333333,,-4.0418561,91.3333333
7,1,34.8166667,-4.3049858,91.3333333,,-4.0402,91.3333333
8,1,34.8333333,-4.3032945,91.3333333,,-4.0385438,91.3333333
9,1,34.85,-4.3016033,91.3333333,,-4.0368877,91.3333333
10,1,34.8666667,-4.299912,91.3333333,,-4.0352316,91.3333333
11,1,34.8833333,-4.2982208,91.3333333,,-4.0335754,91.3333333
12,1,34.9,-4.2965295,91.3333333,,-4.0319193,91.3333333
13,1,34.9166667,-4.2948383,91.3333333,,-4.0302632,91.3333333
14,1,34.9333333,-4.293147,91.3333333,,-4.0286989,91.3333333
15,1,34.95,-4.2914558,91.3333333,,-4.0271346,91.3333333
16,1,34.9666667,-4.2897646,91.3333333,,-4.0255703,91.3333333
17,1,34.9833333,-4.2880733,91.3333333,,-4.024006,91.3333333
18,1,35.0,-4.2863821,91.3333333,,-4.0224417,91.3333333
19,1,35.0166667,-4.2846908,91.3333333,,-4.0208774,91.3333333
20,1,35.0333333,-4.2829996,91.3333333,,-4.0193131,91.3333333
21,1,35.05,-4.2813083,91.3333333,,-4.0177488,91.3333333
22,1,35.0666667,-4.2796171,91.3333333,,-4.0161846,91.3333333
23,1,35.0833333,-4.2779258,91.3333333,,-4.0146203,91.3333333
24,1,35.1,-4.2762346,91.3333333,,-4.013056,91.3333333
25,1,35.1166667,-4.2745433,91.3333333,,-4.0114917,91.3333333
26,1,35.1333333,-4.2728521,91.3333333,,-4.0099274,91.3333333
27,1,35.15,-4.2711608,91.3333333,,-4.0083631,91.3333333
28,1,35.1666667,-4.2694696,91.3333333,,-4.0067988,91.3333333
29,1,35.1833333,-4.2677784,91.3333333,,-4.0052345,91.3333333
30,1,35.2,-4.2660871,91.3333333,,-4.0036702,91.3333333
31,1,35.2166667,-4.2643959,91.3333333,,-4.0021059,91.3333333
32,1,35.2333333,-4.2627046,91.3333333,,-4.0005417,91.3333333
33,1,35.25,-4.2610134,91.3333333,,-3.9989774,91.3333333
34,1,35.2666667,-4.2593221,91.3333333,,-3.9974131,91.3333333
35,1,35.2833333,-4.2576309,91.3333333,,-3.9958488,91.3333333
36,1,35.3,-4.2559396,91.3333333,,-3.9942845,91.3333333
37,1,35.3166667,-4.2542484,91.3333333,,-3.9927202,91.3333333
38,1,35.3333333,-4.2525571,91.3333333,,-3.9911559,91.3333333
39,1,35.35,-4.2506027,91.3333333,,-3.9898548,91.3333333
40,1,35.3666667,-4.2486483,91.3333333,,-3.9885537,91.3333333
41,1,35.3833333,-4.2466939,91.3333333,,-3.9872525,91.3333333
42,1,35.4,-4.2447395,91.3333333,,-3.9859514,91.3333333
