,Ensemble_member,Time_since_eruption,EA_diff_A,Travel_time_x,EA_diff_B,Travel_time_y
0,1,21.8333333,-3.1351975,73.25,-2.5129167,73.25
1,1,21.85,-3.136866,73.25,-2.5146667,73.25
2,1,21.8666667,-3.1385344,73.25,-2.5164167,73.25
3,1,21.8833333,-3.1402029,73.25,-2.5181667,73.25
4,1,21.9,-3.1418713,73.25,-2.5199167,73.25
5,1,21.9166667,-3.1435397,73.25,-2.5216667,73.25
6,1,21.9333333,-3.1452082,73.25,-2.5234167,73.25
7,1,21.95,-3.1468766,73.25,-2.5251667,73.25
8,1,21.9666667,-3.148545,73.25,-2.5269167,73.25
9,1,21.9833333,-3.1502135,73.25,-2.5286667,73.25
10,1,22.0,-3.1518819,73.25,-2.5304167,73.25
11,1,22.0166667,-3.1535504,73.25,-2.5321667,73.25
12,1,22.0333333,-3.1552188,73.25,-2.5339167,73.25
13,1,22.05,-3.1568872,73.25,-2.5356667,73.25
14,1,22.0666667,-3.1585557,73.25,-2.5374167,73.25
15,1,22.0833333,-3.1602241,73.25,-2.5391667,73.25
16,1,22.1,-3.1618925,73.25,-2.5409167,73.25
17,1,22.1166667,-3.163561,73.25,-2.5426667,73.25
18,1,22.1333333,-3.1652294,73.25,-2.5444167,73.25
19,1,22.15,-3.1668979,73.25,-2.5461667,73.25
20,1,22.1666667,-3.1685663,73.25,-2.5479167,73.25
21,1,22.1833333,-3.1702347,73.25,-2.5496667,73.25
22,1,22.2,-3.1719032,73.25,-2.5514167,73.25
23,1,22.2166667,-3.1735716,73.25,-2.5531667,73.25
24,1,22.2333333,-3.17524,73.25,-2.5549167,73.25
25,1,22.25,-3.1769085,73.25,-2.5566667,73.25
26,1,22.2666667,-3.1785769,73.25,-2.5584167,73.25
27,1,22.2833333,-3.1802454,73.25,-2.5601667,73.25
28,1,22.3,-3.1819138,73.25,-2.5619167,73.25
29,1,22.3166667,-3.1835822,73.25,-2.5636667,73.25
