,Ensemble_member,Time_since_eruption,a_A,b_A,c_A,Travel_time_x,a_B,b_B,c_B,Travel_time_y,EA_raw
2691,1,77.1166667,-0.0017735,0.6979667,-3.8435693,107.6666667,-0.0003652,0.3725724,0.2215037,107.6666667,
5383,2,77.1166667,-0.0015768,0.6742474,-2.7958079,106.6666667,-0.0006353,0.4017107,-0.1288432,106.6666667,
8075,3,77.1166667,-0.0015877,0.6758137,-2.5199609,104.6666667,-0.0008031,0.4195337,-0.3350183,104.6666667,
10767,4,77.1166667,-0.0016518,0.6851099,-2.447878,103.6666667,-0.001138,0.4531414,-0.8012179,103.6666667,
13459,5,77.1166667,-0.0016666,0.6875475,-2.19271,102.6666667,-0.0016257,0.5064699,-1.8631167,102.6666667,
16151,6,77.1166667,-0.0016705,0.6898681,-1.950771,101.6666667,-0.0016357,0.5030207,-1.4629153,101.6666667,
18843,7,77.1166667,-0.0017567,0.7002731,-1.9123807,100.6666667,-0.0018554,0.5229711,-1.5941513,100.6666667,
21535,8,77.1166667,-0.0017196,0.6984816,-1.6238206,99.6666667,-0.0023291,0.574312,-2.6237802,99.6666667,
24227,9,77.1166667,-0.0016661,0.6933041,-1.1919966,98.6666667,-0.002051,0.5411388,-1.601159,98.6666667,
26919,10,77.1166667,-0.0016459,0.6937338,-0.9819956,97.6666667,-0.0020285,0.5376204,-1.1665484,97.6666667,
29611,11,77.1166667,-0.0018778,0.7137139,-1.2478843,94.6666667,-0.0020507,0.5435953,-1.2560435,94.6666667,
32303,12,77.1166667,-0.0019282,0.718607,-1.0587086,93.6666667,-0.0020069,0.5420322,-1.1267951,93.6666667,
34995,13,77.1166667,-0.002009,0.7273051,-1.0201848,93.6666667,-0.0018787,0.5274413,-0.6009477,93.6666667,
37687,14,77.1166667,-0.0022107,0.7499459,-1.3339231,94.6666667,-0.0021436,0.5564316,-1.101024,94.6666667,
40379,15,77.1166667,-0.0023603,0.7654161,-1.448942,94.6666667,-0.0020974,0.5507147,-0.6715006,94.6666667,
43071,16,77.1166667,-0.0024501,0.774742,-1.4154482,93.6666667,-0.0018958,0.5354439,-0.3086416,93.6666667,
45763,17,77.1166667,-0.0026065,0.7915794,-1.5758997,92.6666667,-0.0019629,0.5432667,-0.2957271,92.6666667,
48455,18,77.1166667,-0.0027011,0.8016936,-1.5693482,91.6666667,-0.0023178,0.5806189,-0.9459984,91.6666667,
51147,19,77.1166667,-0.002829,0.8161668,-1.6851775,91.6666667,-0.0029397,0.6474259,-2.5980866,91.6666667,30.1041364
53839,20,77.1166667,-0.0029068,0.8241547,-1.6328786,90.6666667,-0.0024239,0.6013605,-1.447121,90.6666667,30.623479
56531,21,77.1166667,-0.0033386,0.8738599,-2.607538,89.6666667,-0.0030621,0.6639741,-2.5870172,89.6666667,30.6767662
