,Ensemble_member,Time_since_eruption,a_A,b_A,c_A,Travel_time_x,EA_raw,a_B,b_B,c_B,Travel_time_y
2355,1,93.3166667,-0.0013785,0.8967633,-29.4629598,102.5833333,39.6356437,-0.0013394,0.8101073,-24.282797,102.5833333
4711,2,93.3166667,-0.0012993,0.8835587,-28.4910267,101.5833333,39.9803902,-0.0013594,0.8098775,-23.7063966,101.5833333
7067,3,93.3166667,-0.0012989,0.8833092,-28.0330023,100.5833333,40.3248492,-0.0017256,0.8643542,-25.3111044,100.5833333
9423,4,93.3166667,-0.0013499,0.8893842,-27.761051,99.5833333,40.8118942,-0.0008602,0.7420557,-20.9091556,99.5833333
11779,5,93.3166667,-0.001241,0.8708028,-26.5667306,99.5833333,41.4503464,-0.0012484,0.8035591,-22.7845335,99.5833333
14135,6,93.3166667,-0.0013558,0.8874721,-26.738425,98.5833333,41.5973447,-0.0011092,0.7852519,-22.0091143,98.5833333
16491,7,93.3166667,-0.0014165,0.8932712,-26.4202893,97.5833333,42.0545123,-0.0016282,0.8616374,-24.228959,97.5833333
18847,8,93.3166667,-0.0013827,0.8855903,-25.6387299,97.5833333,42.3655095,-0.001069,0.772397,-20.4202078,97.5833333
21203,9,93.3166667,-0.0015685,0.9110212,-26.0831623,96.5833333,42.4385397,-0.001112,0.7803509,-20.6852397,96.5833333
23559,10,93.3166667,-0.0015373,0.9033098,-25.3069098,95.5833333,42.802393,-0.0007588,0.7253988,-18.2010775,95.5833333
25915,11,93.3166667,-0.001578,0.9049335,-24.8290484,94.5833333,42.9789555,-0.0005365,0.6932725,-16.8639662,94.5833333
28271,12,93.3166667,-0.001554,0.8995159,-24.226835,94.5833333,43.2911917,-0.0005618,0.703076,-17.1416575,94.5833333
30627,13,93.3166667,-0.0016084,0.9031012,-23.8271031,93.5833333,43.9708476,0.0004221,0.5638535,-12.1352772,93.5833333
32983,14,93.3166667,-0.0017722,0.9261394,-24.2568223,93.5833333,44.4026226,-0.0003168,0.6717502,-15.4968795,93.5833333
35339,15,93.3166667,-0.0018027,0.9265404,-23.8086469,92.5833333,44.3932367,0.0004877,0.5562771,-11.3696745,92.5833333
37695,16,93.3166667,-0.0017061,0.9097564,-22.7832335,91.5833333,44.3102772,-0.0005013,0.6880455,-15.4014334,91.5833333
40051,17,93.3166667,-0.0018362,0.923979,-22.7967905,91.5833333,44.6403148,2.93e-05,0.6187208,-13.0180613,91.5833333
42407,18,93.3166667,-0.0019591,0.9386636,-22.902774,90.5833333,45.3182124,2.78e-05,0.6281754,-13.3205109,90.5833333
44763,19,93.3166667,-0.0020821,0.9514331,-22.8731774,90.5833333,45.4724284,-1.83e-05,0.6280758,-12.7587432,90.5833333
47119,20,93.3166667,-0.0020883,0.9504276,-22.4789131,89.5833333,45.4957176,0.0002126,0.5890969,-11.0894473,89.5833333
49475,21,93.3166667,-0.0021939,0.9595717,-22.304865,89.5833333,45.6248621,0.0001576,0.5979413,-11.2649941,89.5833333
