Ensemble_member, Time_since_eruption, EA_diff_A , Travel_time_x, EA_diff_B , Travel_time_y
              1,          21.2833333, -9.4075   ,         60.75, -2.8496732,         60.75
              2,          21.2833333, -8.9475   ,         60.75, -2.4896732,         60.75
              3,          21.2833333, -8.5075   ,         59.75, -2.0796732,         59.75
              4,          21.2833333, -8.0975   ,         58.75, -1.7096732,         58.75
              5,          21.2833333, -7.7375   ,         58.75, -1.3796732,         58.75
              6,          21.2833333, -7.3375   ,         57.75, -1.0096732,         57.75
              7,          21.2833333, -6.9375   ,         57.75, -0.6796732,         57.75
              8,          21.2833333, -6.5475   ,         56.75, -0.3496732,         56.75
              9,          21.2833333, -6.1875   ,         56.75, 0.0003268 ,         56.75
             10,          21.2833333, -5.8675   ,         56.75, 0.2803268 ,         56.75
             11,          21.2833333, -5.5375   ,         55.75, 0.6203268 ,         55.75
             12,          21.2833333, -5.1675   ,         55.75, 0.8903268 ,         55.75
             13,          21.2833333, -4.8775   ,         54.75, 1.2103268 ,         54.75
             14,          21.2833333, -4.5075   ,         54.75, 1.4403268 ,         54.75
             15,          21.2833333, -4.2275   ,         54.75, 1.8203268 ,         54.75
             16,          21.2833333, -3.9175   ,         53.75, 2.0603268 ,         53.75
             17,          21.2833333, -3.6075   ,         53.75, 2.2703268 ,         53.75
             18,          21.2833333, -3.2975   ,         52.75, 2.6503268 ,         52.75
             19,          21.2833333, -2.9875   ,         52.75, 2.8303268 ,         52.75
             20,          21.2833333, -2.7175   ,         52.75, 3.1003268 ,         52.75
             21,          21.2833333, -2.4475   ,         51.75, 3.3903268 ,         51.75
              1,          21.3      , -9.4083646,         60.75, -2.8480719,         60.75
              2,          21.3      , -8.9480313,         60.75, -2.4877386,         60.75
              3,          21.3      , -8.5083646,         59.75, -2.0780719,         59.75
              4,          21.3      , -8.0983646,         58.75, -1.7077386,         58.75
              5,          21.3      , -7.7373646,         58.75, -1.3770719,         58.75
              6,          21.3      , -7.3376979,         57.75, -1.0074052,         57.75
              7,          21.3      , -6.9373646,         57.75, -0.6774052,         57.75
              8,          21.3      , -6.5473646,         56.75, -0.3470719,         56.75
              9,          21.3      , -6.1870313,         56.75, 0.0029281 ,         56.75
