Ensemble_member,Time_since_eruption,EA_diff_A,Travel_time_x,EA_diff_B,Travel_time_y
1,22.8166667,-1.5987902,80.6666667,-1.6904429,80.6666667
2,22.8166667,-1.3787902,79.6666667,-1.5604429,79.6666667
3,22.8166667,-0.9787902,78.6666667,-1.3404429,78.6666667
4,22.8166667,-0.6787902,77.6666667,-1.1204429,77.6666667
5,22.8166667,-0.4287902,76.6666667,-0.7904429,76.6666667
6,22.8166667,-0.1287902,75.6666667,-0.5904429,75.6666667
7,22.8166667,0.1412098,74.6666667,-0.3904429,74.6666667
8,22.8166667,0.3312098,73.6666667,-0.1504429,73.6666667
9,22.8166667,0.6912098,73.6666667,-0.0704429,73.6666667
10,22.8166667,0.9012098,72.6666667,0.1295571,72.6666667
11,22.8166667,1.1112098,71.6666667,0.3295571,71.6666667
12,22.8166667,1.4112098,71.6666667,0.5595571,71.6666667
13,22.8166667,1.6912098,70.6666667,0.7195571,70.6666667
14,22.8166667,1.9612098,69.6666667,0.8395571,69.6666667
15,22.8166667,2.2112098,68.6666667,1.0195571,68.6666667
16,22.8166667,2.4512098,68.6666667,1.2295571,68.6666667
17,22.8166667,2.6912098,67.6666667,1.4495571,67.6666667
18,22.8166667,2.8912098,66.6666667,1.6295571,66.6666667
19,22.8166667,3.1512098,66.6666667,1.6295571,66.6666667
20,22.8166667,3.4812098,65.6666667,1.8895571,65.6666667
21,22.8166667,3.7012098,65.6666667,2.0295571,65.6666667
1,22.8333333,-1.5987076,80.6666667,-1.6903301,80.6666667
2,22.8333333,-1.3781813,79.6666667,-1.5596722,79.6666667
3,22.8333333,-0.9789708,78.6666667,-1.3396722,78.6666667
4,22.8333333,-0.6780497,77.6666667,-1.119409,77.6666667
5,22.8333333,-0.4289708,76.6666667,-0.7903301,76.6666667
6,22.8333333,-0.1285761,75.6666667,-0.5903301,75.6666667
7,22.8333333,0.1424766,74.6666667,-0.3903301,74.6666667
8,22.8333333,0.3322134,73.6666667,-0.1500669,73.6666667
9,22.8333333,0.6920818,73.6666667,-0.0695406,73.6666667
10,22.8333333,0.9026082,72.6666667,0.130591,72.6666667
11,22.8333333,1.1124766,71.6666667,0.330591,71.6666667
12,22.8333333,1.4131345,71.6666667,0.5607226,71.6666667
13,22.8333333,1.693266,70.6666667,0.7211173,70.6666667
14,22.8333333,1.9633976,69.6666667,0.8417752,69.6666667
15,22.8333333,2.2137924,68.6666667,1.0219068,68.6666667
16,22.8333333,2.4537924,68.6666667,1.2316436,68.6666667
17,22.8333333,2.6941871,67.6666667,1.4517752,67.6666667
18,22.8333333,2.8941871,66.6666667,1.6319068,66.6666667
19,22.8333333,3.1535292,66.6666667,1.6326962,66.6666667
20,22.8333333,3.4841871,65.6666667,1.8921699,65.6666667
21,22.8333333,3.704845,65.6666667,2.0328278,65.6666667
1,22.85,-1.5986251,80.6666667,-1.6902173,80.6666667
2,22.85,-1.3775724,79.6666667,-1.5589015,79.6666667
3,22.85,-0.9791514,78.6666667,-1.3389015,78.6666667
4,22.85,-0.6773093,77.6666667,-1.1183752,77.6666667
5,22.85,-0.4291514,76.6666667,-0.7902173,76.6666667
6,22.85,-0.1283619,75.6666667,-0.5902173,75.6666667
7,22.85,0.1437433,74.6666667,-0.3902173,74.6666667
8,22.85,0.333217,73.6666667,-0.149691,73.6666667
9,22.85,0.6929539,73.6666667,-0.0686383,73.6666667
10,22.85,0.9040065,72.6666667,0.1316248,72.6666667
11,22.85,1.1137433,71.6666667,0.3316248,71.6666667
12,22.85,1.4150591,71.6666667,0.561888,71.6666667
13,22.85,1.6953223,70.6666667,0.7226774,70.6666667
14,22.85,1.9655854,69.6666667,0.8439932,69.6666667
15,22.85,2.2163749,68.6666667,1.0242564,68.6666667
16,22.85,2.4563749,68.6666667,1.2337301,68.6666667
17,22.85,2.6971644,67.6666667,1.4539932,67.6666667
18,22.85,2.8971644,66.6666667,1.6342564,66.6666667
19,22.85,3.1558486,66.6666667,1.6358353,66.6666667
20,22.85,3.4871644,65.6666667,1.8947827,65.6666667
21,22.85,3.7084802,65.6666667,2.0360985,65.6666667
1,22.8666667,-1.5985425,80.6666667,-1.6901045,80.6666667
2,22.8666667,-1.3769636,79.6666667,-1.5581308,79.6666667
3,22.8666667,-0.979332,78.6666667,-1.3381308,78.6666667
4,22.8666667,-0.6765688,77.6666667,-1.1173414,77.6666667
5,22.8666667,-0.429332,76.6666667,-0.7901045,76.6666667
6,22.8666667,-0.1281478,75.6666667,-0.5901045,75.6666667
7,22.8666667,0.1450101,74.6666667,-0.3901045,74.6666667
8,22.8666667,0.3342206,73.6666667,-0.149315,73.6666667
9,22.8666667,0.6938259,73.6666667,-0.0677361,73.6666667
10,22.8666667,0.9054049,72.6666667,0.1326586,72.6666667
11,22.8666667,1.1150101,71.6666667,0.3326586,71.6666667
12,22.8666667,1.4169838,71.6666667,0.5630534,71.6666667
13,22.8666667,1.6973785,70.6666667,0.7242376,70.6666667
14,22.8666667,1.9677733,69.6666667,0.8462113,69.6666667
15,22.8666667,2.2189575,68.6666667,1.026606,68.6666667
16,22.8666667,2.4589575,68.6666667,1.2358165,68.6666667
17,22.8666667,2.7001417,67.6666667,1.4562113,67.6666667
18,22.8666667,2.9001417,66.6666667,1.636606,66.6666667
19,22.8666667,3.158168,66.6666667,1.6389744,66.6666667
20,22.8666667,3.4901417,65.6666667,1.8973955,65.6666667
21,22.8666667,3.7121154,65.6666667,2.0393692,65.6666667
1,22.8833333,-1.59846,80.6666667,-1.6899917,80.6666667
2,22.8833333,-1.3763547,79.6666667,-1.5573602,79.6666667
3,22.8833333,-0.9795126,78.6666667,-1.3373602,78.6666667
4,22.8833333,-0.6758284,77.6666667,-1.1163075,77.6666667
5,22.8833333,-0.4295126,76.6666667,-0.7899917,76.6666667
6,22.8833333,-0.1279336,75.6666667,-0.5899917,75.6666667
7,22.8833333,0.1462769,74.6666667,-0.3899917,74.6666667
8,22.8833333,0.3352243,73.6666667,-0.1489391,73.6666667
9,22.8833333,0.6946979,73.6666667,-0.0668338,73.6666667
10,22.8833333,0.9068032,72.6666667,0.1336925,72.6666667
11,22.8833333,1.1162769,71.6666667,0.3336925,71.6666667
12,22.8833333,1.4189085,71.6666667,0.5642188,71.6666667
13,22.8833333,1.6994348,70.6666667,0.7257977,70.6666667
14,22.8833333,1.9699611,69.6666667,0.8484293,69.6666667
15,22.8833333,2.22154,68.6666667,1.0289556,68.6666667
16,22.8833333,2.46154,68.6666667,1.237903,68.6666667
17,22.8833333,2.703119,67.6666667,1.4584293,67.6666667
18,22.8833333,2.903119,66.6666667,1.6389556,66.6666667
19,22.8833333,3.1604874,66.6666667,1.6421135,66.6666667
20,22.8833333,3.493119,65.6666667,1.9000083,65.6666667
21,22.8833333,3.7157506,65.6666667,2.0426398,65.6666667
1,22.9,-1.5983774,80.6666667,-1.6898789,80.6666667
2,22.9,-1.3757458,79.6666667,-1.5565895,79.6666667
3,22.9,-0.9796932,78.6666667,-1.3365895,78.6666667
4,22.9,-0.6750879,77.6666667,-1.1152737,77.6666667
5,22.9,-0.4296932,76.6666667,-0.7898789,76.6666667
6,22.9,-0.1277195,75.6666667,-0.5898789,75.6666667
7,22.9,0.1475437,74.6666667,-0.3898789,74.6666667
8,22.9,0.3362279,73.6666667,-0.1485632,73.6666667
9,22.9,0.69557,73.6666667,-0.0659316,73.6666667
10,22.9,0.9082015,72.6666667,0.1347263,72.6666667
11,22.9,1.1175437,71.6666667,0.3347263,71.6666667
12,22.9,1.4208331,71.6666667,0.5653842,71.6666667
13,22.9,1.701491,70.6666667,0.7273579,70.6666667
14,22.9,1.9721489,69.6666667,0.8506474,69.6666667
15,22.9,2.2241226,68.6666667,1.0313053,68.6666667
16,22.9,2.4641226,68.6666667,1.2399895,68.6666667
17,22.9,2.7060963,67.6666667,1.4606474,67.6666667
18,22.9,2.9060963,66.6666667,1.6413053,66.6666667
19,22.9,3.1628068,66.6666667,1.6452526,66.6666667
20,22.9,3.4960963,65.6666667,1.9026211,65.6666667
21,22.9,3.7193858,65.6666667,2.0459105,65.6666667
1,22.9166667,-1.5982948,80.6666667,-1.6897662,80.6666667
2,22.9166667,-1.3751369,79.6666667,-1.5558188,79.6666667
3,22.9166667,-0.9798738,78.6666667,-1.3358188,78.6666667
4,22.9166667,-0.6743475,77.6666667,-1.1142398,77.6666667
5,22.9166667,-0.4298738,76.6666667,-0.7897662,76.6666667
6,22.9166667,-0.1275054,75.6666667,-0.5897662,75.6666667
7,22.9166667,0.1488104,74.6666667,-0.3897662,74.6666667
8,22.9166667,0.3372315,73.6666667,-0.1481872,73.6666667
9,22.9166667,0.696442,73.6666667,-0.0650293,73.6666667
10,22.9166667,0.9095999,72.6666667,0.1357602,72.6666667
11,22.9166667,1.1188104,71.6666667,0.3357602,71.6666667
12,22.9166667,1.4227578,71.6666667,0.5665496,71.6666667
13,22.9166667,1.7035473,70.6666667,0.728918,70.6666667
14,22.9166667,1.9743367,69.6666667,0.8528654,69.6666667
15,22.9166667,2.2267052,68.6666667,1.0336549,68.6666667
16,22.9166667,2.4667052,68.6666667,1.2420759,68.6666667
17,22.9166667,2.7090736,67.6666667,1.4628654,67.6666667
18,22.9166667,2.9090736,66.6666667,1.6436549,66.6666667
19,22.9166667,3.1651262,66.6666667,1.6483917,66.6666667
20,22.9166667,3.4990736,65.6666667,1.9052338,65.6666667
21,22.9166667,3.7230209,65.6666667,2.0491812,65.6666667
1,22.9333333,-1.5982123,80.6666667,-1.6896534,80.6666667
2,22.9333333,-1.3745281,79.6666667,-1.5550481,79.6666667
3,22.9333333,-0.9800544,78.6666667,-1.3350481,78.6666667
4,22.9333333,-0.673607,77.6666667,-1.113206,77.6666667
5,22.9333333,-0.4300544,76.6666667,-0.7896534,76.6666667
6,22.9333333,-0.1272912,75.6666667,-0.5896534,75.6666667
7,22.9333333,0.1500772,74.6666667,-0.3896534,74.6666667
8,22.9333333,0.3382351,73.6666667,-0.1478113,73.6666667
9,22.9333333,0.697314,73.6666667,-0.0641271,73.6666667
10,22.9333333,0.9109982,72.6666667,0.136794,72.6666667
11,22.9333333,1.1200772,71.6666667,0.336794,71.6666667
12,22.9333333,1.4246825,71.6666667,0.567715,71.6666667
13,22.9333333,1.7056035,70.6666667,0.7304782,70.6666667
14,22.9333333,1.9765246,69.6666667,0.8550835,69.6666667
15,22.9333333,2.2292877,68.6666667,1.0360045,68.6666667
16,22.9333333,2.4692877,68.6666667,1.2441624,68.6666667
17,22.9333333,2.7120509,67.6666667,1.4650835,67.6666667
18,22.9333333,2.9120509,66.6666667,1.6460045,66.6666667
19,22.9333333,3.1674456,66.6666667,1.6515308,66.6666667
20,22.9333333,3.5020509,65.6666667,1.9078466,65.6666667
21,22.9333333,3.7266561,65.6666667,2.0524519,65.6666667
1,22.95,-1.5981297,80.6666667,-1.6895406,80.6666667
2,22.95,-1.3739192,79.6666667,-1.5542774,79.6666667
3,22.95,-0.980235,78.6666667,-1.3342774,78.6666667
4,22.95,-0.6728666,77.6666667,-1.1121722,77.6666667
5,22.95,-0.430235,76.6666667,-0.7895406,76.6666667
6,22.95,-0.1270771,75.6666667,-0.5895406,75.6666667
7,22.95,0.151344,74.6666667,-0.3895406,74.6666667
8,22.95,0.3392387,73.6666667,-0.1474353,73.6666667
9,22.95,0.6981861,73.6666667,-0.0632248,73.6666667
10,22.95,0.9123966,72.6666667,0.1378278,72.6666667
11,22.95,1.121344,71.6666667,0.3378278,71.6666667
12,22.95,1.4266071,71.6666667,0.5688805,71.6666667
13,22.95,1.7076598,70.6666667,0.7320383,70.6666667
14,22.95,1.9787124,69.6666667,0.8573015,69.6666667
15,22.95,2.2318703,68.6666667,1.0383541,68.6666667
