Ensemble_member,Time_since_eruption,EA_diff_A,Travel_time_x,EA_raw,EA_diff_B,Travel_time_y
1,34.7,-4.3168245,91.3333333,,-4.0517929,91.3333333
2,34.7,-4.0168245,91.3333333,,-3.7717929,91.3333333
3,34.7,-3.6768245,90.3333333,,-3.4917929,90.3333333
4,34.7,-3.3768245,90.3333333,,-3.2317929,90.3333333
5,34.7,-3.1068245,90.3333333,,-2.9517929,90.3333333
6,34.7,-2.8668245,90.3333333,,-2.6717929,90.3333333
7,34.7,-2.6668245,90.3333333,,-2.3317929,90.3333333
8,34.7,-2.3868245,90.3333333,,-2.0617929,90.3333333
9,34.7,-2.1868245,89.3333333,,-1.7417929,89.3333333
10,34.7,-2.0068245,89.3333333,,-1.4017929,89.3333333
11,34.7,-1.8068245,88.3333333,,-1.1117929,88.3333333
12,34.7,-1.6968245,87.3333333,,-0.8717929,87.3333333
13,34.7,-1.5168245,85.3333333,,-0.6517929,85.3333333
14,34.7,-1.1973163,84.3333333,18.4205498,-0.4117929,84.3333333
15,34.7,-1.1627433,83.3333333,18.8977495,-0.1917929,83.3333333
16,34.7,-0.8392517,82.3333333,18.9735769,0.0482071,82.3333333
17,34.7,-0.3622732,82.3333333,19.448171,0.2382071,82.3333333
18,34.7,-0.0207086,81.3333333,19.531902,0.4482071,81.3333333
19,34.7,0.1588755,80.3333333,19.9772548,0.6682071,80.3333333
20,34.7,0.2012167,80.3333333,19.9541775,0.8482071,80.3333333
21,34.7,0.0904608,79.3333333,20.1638441,1.0482071,79.3333333
1,34.7166667,-4.3151332,91.3333333,,-4.0501368,91.3333333
2,34.7166667,-4.0148701,91.3333333,,-3.7703999,91.3333333
3,34.7166667,-3.6748701,90.3333333,,-3.4909263,90.3333333
4,34.7166667,-3.3746069,90.3333333,,-3.2311894,90.3333333
5,34.7166667,-3.1048701,90.3333333,,-2.9517157,90.3333333
6,34.7166667,-2.8648701,90.3333333,,-2.6717157,90.3333333
7,34.7166667,-2.6646069,90.3333333,,-2.3319789,90.3333333
8,34.7166667,-2.3843438,90.3333333,,-2.0617157,90.3333333
9,34.7166667,-2.1843438,89.3333333,,-1.7414526,89.3333333
