Ensemble_member,Time_since_eruption,EA_diff_A,Travel_time_x,EA_diff_B,Travel_time_y,EA_raw
1,32.2666667,-8.7968277,107.6666667,-9.7858915,107.6666667,
2,32.2666667,-8.3368277,106.6666667,-9.6758915,106.6666667,
3,32.2666667,-8.1168277,104.6666667,-9.3758915,104.6666667,
4,32.2666667,-7.7468277,103.6666667,-9.0558915,103.6666667,
5,32.2666667,-7.4768277,102.6666667,-8.8258915,102.6666667,
6,32.2666667,-7.1868277,101.6666667,-8.5758915,101.6666667,
7,32.2666667,-6.8968277,100.6666667,-8.3058915,100.6666667,
8,32.2666667,-6.6368277,99.6666667,-8.0858915,99.6666667,
9,32.2666667,-6.3368277,98.6666667,-7.8258915,98.6666667,
10,32.2666667,-6.1268277,97.6666667,-7.5658915,97.6666667,
11,32.2666667,-5.9868277,94.6666667,-7.3158915,94.6666667,
12,32.2666667,-5.7068277,93.6666667,-7.1258915,93.6666667,
13,32.2666667,-5.4668277,93.6666667,-6.8858915,93.6666667,
14,32.2666667,-5.2868277,94.6666667,-6.6758915,94.6666667,
15,32.2666667,-5.0568277,94.6666667,-6.3758915,94.6666667,
16,32.2666667,-4.8068277,93.6666667,-6.2258915,93.6666667,
17,32.2666667,-4.5968277,92.6666667,-6.0158915,92.6666667,
18,32.2666667,-4.3768277,91.6666667,-5.7858915,91.6666667,
19,32.2666667,-4.1668277,91.6666667,-5.7744629,91.6666667,15.2010942
20,32.2666667,-3.9368277,90.6666667,-5.5538651,90.6666667,15.5606957
21,32.2666667,-3.8268277,89.6666667,-5.6425582,89.6666667,15.6136792
1,32.2833333,-8.798932,107.6666667,-9.7879992,107.6666667,
2,32.2833333,-8.339538,106.6666667,-9.6770901,106.6666667,
3,32.2833333,-8.119235,104.6666667,-9.3770901,104.6666667,
4,32.2833333,-7.7496895,103.6666667,-9.0573931,103.6666667,
5,32.2833333,-7.4793865,102.6666667,-8.8270901,102.6666667,
6,32.2833333,-7.189235,101.6666667,-8.5769386,101.6666667,
7,32.2833333,-6.8990835,100.6666667,-8.306787,100.6666667,
